Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Robert Lewandowski,640962,692238.96,68.6745,33330000,35996400,,44761,#REF!,Starter,F,CF,36,Poland,Barcelona,La Liga,
Kylian Mbappé,600962,649038.96,64.38878571,31250000,33750000,40420000,45474,#REF!,Starter,F,CF,25,France,Real Madrid,La Liga,
Harry Kane,480769,519230.52,51.51096429,25000000,27000000,,45150,#REF!,Starter,F,CF,31,England,Bayern Munich,Bundesliga,
Kevin De Bruyne,400000,508000,50.3968254,20800000,26416000,,44293,#REF!,Starter,F,AM,33,Belgium,Manchester City,Premier League,
Erling Haaland,375000,476250,47.24702381,19500000,24765000,24700000,44743,#REF!,Starter,F,CF,24,Norway,Manchester City,Premier League,
David Alaba,432692,467307.36,46.35985714,22500000,24300000,,44378,#REF!,Reserve,D,CB,32,Austria,Real Madrid,La Liga,
Dušan Vlahović,427308,461492.64,45.783,22220000,23997600,,44589,#REF!,Starter,F,CF,24,Serbia,Juventus,Serie A,
Mohamed Salah,350000,444500,44.09722222,18200000,23114000,2600000,44743,#REF!,Starter,F,RW,32,Egypt,Liverpool,Premier League,
Casemiro,350000,444500,44.09722222,18200000,23114000,5200000,44795,#REF!,Reserve,M,DM,32,Brazil,Manchester United,Premier League,
Manuel Neuer,403846,436153.68,43.26921429,21000000,22680000,,45258,#REF!,Starter,K,GK,38,Germany,Bayern Munich,Bundesliga,
Jan Oblak,400577,432623.16,42.91896429,20830000,22496400,,44762,#REF!,Starter,K,GK,31,Slovenia,Atletico Madrid,La Liga,
Vinicius Junior,400577,432623.16,42.91896429,20830000,22496400,4170000,45230,#REF!,Starter,F,LW,24,Brazil,Real Madrid,La Liga,
Jude Bellingham,400577,432623.16,42.91896429,20830000,22496400,4170000,45108,#REF!,Starter,F,AM,21,England,Real Madrid,La Liga,
Thomas Müller,394231,425769.48,42.23903571,20500000,22140000,,45279,#REF!,Reserve,F,SS,34,Germany,Bayern Munich,Bundesliga,
Ousmane Dembélé,384615,415384.2,41.20875,20000000,21600000,5000000,45150,#REF!,Starter,F,RW,27,France,Paris Saint-Germain,Ligue 1,
Joshua Kimmich,375000,405000,40.17857143,19500000,21060000,,44431,#REF!,Starter,M,CM,29,Germany,Bayern Munich,Bundesliga,
Frenkie de Jong,365385,394615.8,39.14839286,19000000,20520000,6200000,44124,#REF!,Reserve,M,CM,27,Netherlands,Barcelona,La Liga,
Lucas Hernández,365385,394615.8,39.14839286,19000000,20520000,,45116,#REF!,Reserve,D,LB,28,France,Paris Saint-Germain,Ligue 1,
Serge Gnabry,362885,391915.8,38.88053571,18870000,20379600,,44758,#REF!,Starter,F,RW,29,Germany,Bayern Munich,Bundesliga,
Jack Grealish,300000,381000,37.79761905,15600000,19812000,,44413,#REF!,Starter,F,LW,28,England,Manchester City,Premier League,
Bernardo Silva,300000,381000,37.79761905,15600000,19812000,,45161,#REF!,Starter,F,AM,30,Portugal,Manchester City,Premier League,
Bruno Fernandes,300000,381000,37.79761905,15600000,19812000,3900000,45518,#REF!,Starter,F,AM,29,Portugal,Manchester United,Premier League,
Marcus Rashford,300000,381000,37.79761905,15600000,19812000,3900000,45125,#REF!,Starter,F,LW,26,England,Manchester United,Premier League,
Leon Goretzka,346154,373846.32,37.08792857,18000000,19440000,,44455,#REF!,Reserve,M,CM,29,Germany,Bayern Munich,Bundesliga,
Kai Havertz,280000,355600,35.27777778,14560000,18491200,2600000,45108,#REF!,Starter,F,AM,25,Germany,Arsenal FC,Premier League,
Kingsley Coman,326923,353076.84,35.02746429,17000000,18360000,,44573,#REF!,Reserve,F,LW,28,France,Bayern Munich,Bundesliga,
Marquinhos,323077,348923.16,34.61539286,16800000,18144000,,45065,#REF!,Starter,D,CB,30,Brazil,Paris Saint-Germain,Ligue 1,
Lautaro Martínez,320577,346223.16,34.34753571,16670000,18003600,3700000,45516,#REF!,Starter,F,CF,27,Argentina,Inter Milan,Serie A,
Federico Valverde,320577,346223.16,34.34753571,16670000,18003600,,45239,#REF!,Starter,M,CM,26,Uruguay,Real Madrid,La Liga,
Milan Skriniar,314615,339784.2,33.70875,16360000,17668800,3640000,45113,#REF!,Reserve,D,CB,29,Slovakia,Paris Saint-Germain,Ligue 1,
Gabriel Jesus,265000,336550,33.38789683,13780000,17500600,,44746,#REF!,Starter,F,CF,27,Brazil,Arsenal FC,Premier League,
Reece James,250000,317500,31.49801587,13000000,16510000,,44809,#REF!,Reserve,D,RB,24,England,Chelsea,Premier League,
John Stones,250000,317500,31.49801587,13000000,16510000,,44418,#REF!,Reserve,D,CB,30,England,Manchester City,Premier League,
Mason Mount,250000,317500,31.49801587,13000000,16510000,2600000,45112,#REF!,Reserve,F,AM,25,England,Manchester United,Premier League,
